quant,bits,group,rb,rc,rdt,layer_mode,ppl
fake,4,64,4,4,24,all,673386.3125
fake,4,64,4,4,12,early,38.3466
fake,4,64,4,4,12,mid,47.2453
fake,4,64,4,4,12,late,10273.3408
fake,4,64,4,4,12,all,849905.6875
fake,4,64,4,4,6,early,39.9636
fake,4,64,4,4,6,mid,48.2742
fake,4,64,4,4,6,late,8423.2549
fake,4,64,4,4,6,all,878134.0625
fake,4,128,16,16,48,early,25.2189
fake,4,128,16,16,48,mid,25.3186
fake,4,128,16,16,48,late,25.6473
fake,4,128,16,16,48,all,25.9826
fake,4,128,16,16,36,early,25.3577
fake,4,128,16,16,36,mid,25.7449
fake,4,128,16,16,36,late,111.5282
fake,4,128,16,16,36,all,102.5150
fake,4,128,16,16,24,early,25.7400
fake,4,128,16,16,24,mid,26.5518
fake,4,128,16,16,24,late,161.8759
fake,4,128,16,16,24,all,119.5942
fake,4,128,16,16,12,early,26.3208
fake,4,128,16,16,12,mid,28.0695
fake,4,128,16,16,12,late,235.0756
fake,4,128,16,16,12,all,147.4233
fake,4,128,16,16,6,early,27.0763
fake,4,128,16,16,6,mid,29.9449
fake,4,128,16,16,6,late,269.8509
fake,4,128,16,16,6,all,175.8259
fake,4,128,16,8,48,early,29.0001
fake,4,128,16,8,48,mid,32.4216
fake,4,128,16,8,48,late,46.3270
fake,4,128,16,8,48,all,237.1104
fake,4,128,16,8,36,early,29.6056
fake,4,128,16,8,36,mid,33.3432
fake,4,128,16,8,36,late,92.4038
fake,4,128,16,8,36,all,276.2928
fake,4,128,16,8,24,early,30.5058
fake,4,128,16,8,24,mid,34.6324
fake,4,128,16,8,24,late,128.6303
fake,4,128,16,8,24,all,331.4262
fake,4,128,16,8,12,early,31.6817
fake,4,128,16,8,12,mid,36.6313
fake,4,128,16,8,12,late,193.0302
fake,4,128,16,8,12,all,444.8774
fake,4,128,16,8,6,early,32.8629
fake,4,128,16,8,6,mid,37.9765
fake,4,128,16,8,6,late,220.2527
fake,4,128,16,8,6,all,567.8501
fake,4,128,16,4,48,early,32.0334
fake,4,128,16,4,48,mid,38.5333
fake,4,128,16,4,48,late,806.2615
fake,4,128,16,4,48,all,6658.5723
fake,4,128,16,4,36,early,32.8391
fake,4,128,16,4,36,mid,39.4841
fake,4,128,16,4,36,late,795.2292
fake,4,128,16,4,36,all,5821.4736
fake,4,128,16,4,24,early,33.9848
fake,4,128,16,4,24,mid,40.4865
fake,4,128,16,4,24,late,902.6622
fake,4,128,16,4,24,all,7390.6953
fake,4,128,16,4,12,early,35.3732
fake,4,128,16,4,12,mid,42.0960
fake,4,128,16,4,12,late,1085.8486
fake,4,128,16,4,12,all,9073.0332
fake,4,128,16,4,6,early,36.7826
fake,4,128,16,4,6,mid,43.2081
fake,4,128,16,4,6,late,1068.7318
fake,4,128,16,4,6,all,10248.8564
fake,4,128,8,16,48,early,25.9869
fake,4,128,8,16,48,mid,27.4282
fake,4,128,8,16,48,late,37.9307
fake,4,128,8,16,48,all,95.1899
fake,4,128,8,16,36,early,26.2926
fake,4,128,8,16,36,mid,28.2472
fake,4,128,8,16,36,late,109.8747
fake,4,128,8,16,36,all,142.7419
fake,4,128,8,16,24,early,26.7725
fake,4,128,8,16,24,mid,29.2248
fake,4,128,8,16,24,late,159.3545
fake,4,128,8,16,24,all,183.1122
fake,4,128,8,16,12,early,27.5621
fake,4,128,8,16,12,mid,30.9504
fake,4,128,8,16,12,late,235.3667
fake,4,128,8,16,12,all,265.4165
fake,4,128,8,16,6,early,28.3998
fake,4,128,8,16,6,mid,32.5298
fake,4,128,8,16,6,late,259.0863
fake,4,128,8,16,6,all,356.9875
fake,4,128,8,8,48,early,31.3439
fake,4,128,8,8,48,mid,34.8456
fake,4,128,8,8,48,late,191.8535
fake,4,128,8,8,48,all,18671.8984
fake,4,128,8,8,36,early,32.0879
fake,4,128,8,8,36,mid,35.7963
fake,4,128,8,8,36,late,238.8759
fake,4,128,8,8,36,all,16726.7871
fake,4,128,8,8,24,early,33.2237
fake,4,128,8,8,24,mid,36.9827
fake,4,128,8,8,24,late,315.1959
fake,4,128,8,8,24,all,19693.6406
fake,4,128,8,8,12,early,34.6007
fake,4,128,8,8,12,mid,38.8061
fake,4,128,8,8,12,late,432.5623
fake,4,128,8,8,12,all,24247.8594
fake,4,128,8,8,6,early,35.9552
fake,4,128,8,8,6,mid,39.9668
fake,4,128,8,8,6,late,486.9151
fake,4,128,8,8,6,all,34707.0664
fake,4,128,8,4,48,early,33.4608
fake,4,128,8,4,48,mid,40.1713
fake,4,128,8,4,48,late,3088.7554
fake,4,128,8,4,48,all,47432.2812
fake,4,128,8,4,36,early,34.3313
fake,4,128,8,4,36,mid,41.1231
fake,4,128,8,4,36,late,1829.8951
fake,4,128,8,4,36,all,37541.0312
fake,4,128,8,4,24,early,35.5648
fake,4,128,8,4,24,mid,42.1408
fake,4,128,8,4,24,late,2070.0574
fake,4,128,8,4,24,all,50100.9609
fake,4,128,8,4,12,early,37.0059
fake,4,128,8,4,12,mid,43.6663
fake,4,128,8,4,12,late,2258.9143
fake,4,128,8,4,12,all,66332.9297
fake,4,128,8,4,6,early,38.4516
fake,4,128,8,4,6,mid,44.7342
fake,4,128,8,4,6,late,2126.3999
fake,4,128,8,4,6,all,75801.4922
fake,4,128,4,16,48,early,26.5555
fake,4,128,4,16,48,mid,30.8486
fake,4,128,4,16,48,late,97.2980
fake,4,128,4,16,48,all,500.7437
fake,4,128,4,16,36,early,26.9210
fake,4,128,4,16,36,mid,31.7190
fake,4,128,4,16,36,late,158.7258
fake,4,128,4,16,36,all,560.6575
fake,4,128,4,16,24,early,27.4750
fake,4,128,4,16,24,mid,32.8497
fake,4,128,4,16,24,late,203.8602
fake,4,128,4,16,24,all,672.2114
fake,4,128,4,16,12,early,28.3509
fake,4,128,4,16,12,mid,34.5236
fake,4,128,4,16,12,late,262.5608
fake,4,128,4,16,12,all,853.2552
fake,4,128,4,16,6,early,29.3130
